feature name,verticality,goal / problem solved,Status,billing plan," concept hierarchy path",Assigned to,Blocked by,Blocking,Date,Idea by,Priority,Tags,Tasks,Youtube guide,estimate,impact = priority %
Frame side queen cup detection,vertical,Swarming (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Swarming%2013184fe7583e452dbbc8c4e57333ef97.html),Done,1-community,apiary/hive/box/frame/frame-side/file/queen-cups,,,,,,0,ML,detect different types of queen cups (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/detect%20different%20types%20of%20queen%20cups%200e7b7c49fef948789c780860439b4561.html),,,
Honeycomb cell detection,vertical,Colony starvation (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Colony%20starvation%209925e34207b94b7e9da10e0dcfdf6e47.html),Done,1-community,apiary/hive/box/frame/frame-side/file/cells,,,,,,0,"ML, backend, frontend",Update beehive section frame cell type ratios on update (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Update%20beehive%20section%20frame%20cell%20type%20ratios%20on%20u%206a19e259be6c464c849b03790709fe40.html),,,
Worker bee detection,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),In development,1-community,apiary/hive/box/frame/frame-side/file/bees,Fam A. Shihata (../Careers%20e50bd8e561c74102ab8e2b96276809c7/Team%205ff38d33b8a2448ca02ffc26aed09278/Team%20db%20a9358923ffb1467387b2fea1216f1e76/Fam%20A%20Shihata%203f975106e9b4417dafba997e8c0f2422.html),,,,,0,"ML, backend, frontend",,,,
Frame side photo upload,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary/hive/box/frame/frame-side/file,,,,,,0,backend,"frame upload - allow pasting images via clipboard API (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/frame%20upload%20-%20allow%20pasting%20images%20via%20clipboard%20%20db58e11f8ee841839b59895ff9e78adc.html), file upload - progress bar (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/file%20upload%20-%20progress%20bar%20a2df82b1760c46c78435888126d54f29.html), 
bulk file upload view (as new inspection) (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/bulk%20file%20upload%20view%20(as%20new%20inspection)%20fe0099e4d5724c3c858bdf1897bbbc52.html), add google drive photo download integration (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/add%20google%20drive%20photo%20download%20integration%200671f76f427246458061bf0832740584.html)",,,
Hive section management,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary/hive/box,,,,,,0,"backend, frontend","Add classic roof top (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20classic%20roof%20top%20756624ee1e644772ab5ccf3498b29a95.html), add bottom type of box (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/add%20bottom%20type%20of%20box%20b1211631d2584e9cafe88d03d139480c.html), add queen excluder type of box (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/add%20queen%20excluder%20type%20of%20box%20f1829b2680614ea69dd870bbf2a0ea15.html), Add box size selection (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20box%20size%20selection%207177a28563b3494fb07a528880a23eee.html), Add ventilation type of a box (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20ventilation%20type%20of%20a%20box%20949d7ae4ec2145afb851719e59f24329.html), Mark box as having a candy feeding (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Mark%20box%20as%20having%20a%20candy%20feeding%2001259720c2dc48f4977486163b01a6ab.html), Section with size choice (Farrar, Dadant etc.) (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Section%20with%20size%20choice%20(Farrar,%20Dadant%20etc%20)%20949dc027882644b180d547a2d575a6b9.html)",,,
Billing subscription,vertical,,Done,1-community,user,,,,,,0,backend,"Ability to cancel billing subscription (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Ability%20to%20cancel%20billing%20subscription%200087e5c47b944cbeb94845c7232b50f1.html), Downgrade billing plan after 2 weeks of trial expiration (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Downgrade%20billing%20plan%20after%202%20weeks%20of%20trial%20expi%2026b2f1583f1745d29650161000e06f44.html), Enforce functional limitations that depend on billing tier (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Enforce%20functional%20limitations%20that%20depend%20on%20bill%207b5e4e29ccc94c769d528ad9dc2b0226.html)",,,
API token management,vertical,,Done,1-community,user,,,,,,0,"backend, frontend",Add API token removal (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20API%20token%20removal%20f12f4a8f60f64dea8812f78d46e0732a.html),,,
User editing,vertical,,Done,1-community,user,,,,,,0,"backend, frontend",,,,
User login,vertical,,Done,1-community,user,,,,,,0,"backend, frontend","user-cycle - Login with google (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/user-cycle%20-%20Login%20with%20google%209b8ec50402e84c8a9960031fafd46552.html), user-cycle - autologin if user session exists (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/user-cycle%20-%20autologin%20if%20user%20session%20exists%2031ccd0f9f2444e77898639967aed31df.html)",https://youtu.be/Txspe3O5gaQ,,
User registration + password restoration,vertical,,Done,1-community,user,,,,,,0,"backend, frontend","Add ""forgot password"" and restoration flow (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20forgot%20password%20and%20restoration%20flow%2020bf576c0c0642fa9606f1a1ece22ca1.html)",,,
Apiary management,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary,,,,,,0,"backend, frontend","Integrate Estonian apiaries public data in apiary view (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Integrate%20Estonian%20apiaries%20public%20data%20in%20apiary%20%202b4cc4f2cc2345e9b2c4288d7efbf8ad.html), Manually enter, which plants grow around the apiary in terms of area (ha), percentage (%). Tie it to graph of blooming time (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Manually%20enter,%20which%20plants%20grow%20around%20the%20apiar%20412a6f5298ad4f2a96d87b5fa494cd05.html)",,,
Hive management,vertical,Observability of bee colony (../Problems%20we%20are%20solving%2015a899e8bf10455c9ef903c6e269af2c/Problems%20and%20goals%20cd532f09000b4e99a2e2fb8135a707f2/Observability%20of%20bee%20colony%20c7971983f26d4ff19da0ef3390c4871b.html),Done,1-community,apiary/hive,,,,,,0,"backend, frontend","In apiary view, show table list of hives with hive status (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/In%20apiary%20view,%20show%20table%20list%20of%20hives%20with%20hive%201a8c32639f1f49ac91c4778d1083ade9.html), render hive in 3d (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/render%20hive%20in%203d%2002f43f9ae745486db08a9a7f7eb56cd3.html), add horizontal feed box (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/add%20horizontal%20feed%20box%20629ee34a9e8e49bca14325612a8f3e37.html), move frames between boxes (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/move%20frames%20between%20boxes%201bab04b659f54494b0fce17737ea33e8.html), Hive numbering (manual / automated) (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Hive%20numbering%20(manual%20automated)%206826bfdfaef0449eb7cf277804a871f6.html), reset frame numbers to be user-specific (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/reset%20frame%20numbers%20to%20be%20user-specific%20f0aec6ca623a4db0b5a61849dac1104d.html), Add ability to create a nucleus (5 frames) (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20ability%20to%20create%20a%20nucleus%20(5%20frames)%204daeb09400fc40dc9999a2a4e7819d62.html), Fix hive section buttons in mobile layout (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Fix%20hive%20section%20buttons%20in%20mobile%20layout%20ff40938580884607bc2f22b6d48fb092.html), Add ability to change frame type  (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20ability%20to%20change%20frame%20type%2092d304eb462e40e5a97eacc54ec4eac8.html), Fix hive note editing having a flickering experience (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Fix%20hive%20note%20editing%20having%20a%20flickering%20experien%207604c4049d294f80b70cce1131d0c7a6.html), Mark colony as dead & generate yearly mortality report (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Mark%20colony%20as%20dead%20&%20generate%20yearly%20mortality%20re%209a8f68b83974490b8dcf3861c6badad6.html), Add colony last treatment time (in hive table view) (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20colony%20last%20treatment%20time%20(in%20hive%20table%20view%204c9b7fd41ec147c7ae52f83175e2f463.html), Add colony last feeding time (in hive table view) (Tasks%2067cbebc3a13c4fb3b8ac3396b4d03af4/Tasks%20069bb66e37d14486aadec4627bb9c112/Add%20colony%20last%20feeding%20time%20(in%20hive%20table%20view)%2005edf5dcc9ef416ba7f93e23342887b8.html)",,,
